PID	Status	Label
-	0	io.tailscale.ipn.macsys.login-item-helper
-	0	com.apple.SafariHistoryServiceAgent
-	-9	com.apple.progressd
-	0	com.apple.enhancedloggingd
-	0	com.apple.cloudphotod
8222	-9	com.apple.MENotificationService
51993	0	application.com.corecode.MacUpdater.515570276.515570488
15339	-15	com.apple.Finder
745	0	com.apple.homed
10836	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
4375	0	application.com.apple.systemevents.1152921500312099779.1152921500312099784
-	0	us.zoom.updater
918	0	com.apple.mediaremoteagent
755	0	com.apple.FontWorker
6434	-9	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	-9	com.apple.knowledgeconstructiond
4222	0	application.com.softwareambience.Unclutter-setapp.561075146.561075158
816	0	application.eu.davidbures.cork.548619501.548619507
1136	0	86Z3GCJ4MF.com.noodlesoft.HazelHelper
21162	-9	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
2889	0	com.apple.GameController.gamecontrolleragentd
3995	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
710	0	com.apple.nsurlsessiond
21186	-9	com.apple.devicecheckd
4370	0	application.net.matthewpalmer.Rocket.273018875.416809414
-	0	com.apple.syncservices.uihandler
40480	-9	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
-	-9	com.apple.intelligenceplatformd
35540	-9	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	0	com.apple.LinkedNotesUIService
-	-9	com.apple.ndoagent
840	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
89236	0	application.com.max-langer.Latest.310723998.408169742
39552	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
967	0	com.apple.commerce
40417	0	application.com.microsoft.Word.576110593.576212837
3950	0	com.noodlesoft.HazelNotifier
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
3957	0	com.example.PingBar
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
-	-9	com.apple.ManagedSettingsAgent
15294	-9	com.apple.photolibraryd
4402	0	application.com.omarszn.WakeMinder.581862853.581862859
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	-9	com.apple.ThreadCommissionerService
15244	-9	com.apple.tipsd
-	0	com.apple.stickersd
35224	-9	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
3971	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
97953	0	application.com.hegenberg.BTTRelaunch.574740452.574740458
-	0	com.apple.MRTa
22164	-9	com.apple.CommCenter
742	0	com.apple.trustd.agent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
686	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
21507	-9	com.apple.CoreDevice.remotepairingd
8215	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	-9	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
9182	0	com.apple.peopled
-	0	com.apple.remotecompositorclientd
4667	0	application.com.sindresorhus.Supercharge-setapp.572038990.572039002
-	0	com.apple.PosterBoard
6522	-9	com.apple.replicatord
-	-9	com.apple.keyboardservicesd
77107	-9	com.apple.accessibility.axassetsd
788	0	application.com.houdah.HoudahSpot-setapp.496759078.496759092
89443	-9	com.apple.quicklook.ThumbnailsAgent
-	-9	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
715	0	com.apple.WindowManager.agent
741	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
4447	0	application.com.raycast.macos.577708685.577708765
4390	0	application.com.sids.DisplayBuddy-setapp.554299927.554299953
-	0	org.hejki.osx.sshce-setapp.helper
3934	0	at.obdev.littlesnitch.agent
723	0	com.apple.accessibility.AXVisualSupportAgent
3936	0	com.backblaze.bzbmenu
-	-9	com.apple.xpc.loginitemregisterd
3939	0	tonyapp.devutils.launcher
95880	-9	com.apple.webprivacyd
21194	-9	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
805	0	application.app.spokenly.567731364.567737277
-	78	net.hannesschmidt.EnvAgent
3943	0	homebrew.mxcl.borders
4540	0	application.com.sindresorhus.Hyperduck.497035726.497035731
4437	0	application.org.hammerspoon.Hammerspoon.83363230.408169614
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
4485	0	application.me.kopiro.soundanchor.569765111.569765337
-	0	com.apple.warmd_agent
-	0	com.grammarly.ProjectLlama.Uninstaller
3953	0	com.ollama.ollama
-	-9	com.apple.voicebankingd
-	0	com.apple.gamesaved
-	0	com.apple.universalaccesscontrol
1040	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
4097	0	application.com.macility.typinator2.574561109.574561120
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
20232	-9	com.apple.ScreenTimeAgent
3960	0	Proton Mail Bridge
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.arkitd
-	0	com.apple.systemprofiler
-	0	com.apparentsoft.trickster-setapp.TricksterLauncher
-	-9	com.apple.homeenergyd
706	0	com.apple.cloudd
-	0	com.apple.noticeboard.agent
51753	0	com.apple.UserNotificationCenterAgent
872	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
4110	0	application.ch.protonmail.drive.524492339.548109803
-	0	com.apple.ATS.FontValidator
1794	0	com.apple.diagnostics_agent
88871	0	com.apple.managedcorespotlightd.38EB425F-5284-6A15-3D1A-AD0CDEF84C6F
-	0	com.apple.appleseed.seedusaged
757	0	application.com.ringcentral.glip.575610239.575610247
6593	-9	com.apple.LocalAuthentication.UIAgent
35340	-9	com.apple.ap.adprivacyd
-	0	com.apple.callhistoryd
35339	-9	com.apple.ap.promotedcontentd
743	-9	com.apple.apfsuseragent
4148	0	application.com.ethanbills.DockDoor.569628836.573755255
810	0	application.com.creaceed.prizmo-setapp.575135010.575135023
-	0	com.apple.intelligencetasksd
90821	-9	com.apple.networkserviceproxy
823	0	com.apple.controlcenter
88689	-9	com.apple.contacts.postersyncd
19496	0	com.apple.AMPLibraryAgent
-	0	com.openssh.ssh-agent
89541	-9	com.apple.amsondevicestoraged
-	-9	com.apple.tonelibraryd
-	-9	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
-	0	com.apple.ctcategories.service
-	0	com.apple.CoreSimulator.SimLaunchHost-x86
6607	-9	com.apple.ctkd
-	-9	com.apple.package-script-service
6490	-9	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
4603	0	application.com.apphousekitchen.aldente-pro-setapp.569933138.569933144
-	0	com.apple.mediacontinuityd
-	0	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
15293	-9	com.apple.synapse.contentlinkingd
-	0	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
44908	0	application.com.adobe.AdobeResourceSynchronizer.561581697.561588125
89874	-9	com.apple.triald
89957	0	application.com.dinoki.osaurus.582278242.582278369
737	0	com.apple.tccd
-	0	com.apple.nexusd
797	0	com.apple.StatusKitAgent
98060	0	application.com.getcleanshot.app-setapp.582495725.582495731
-	0	com.apple.diagnosticspushd
856	0	com.apple.replayd
694	0	com.apple.coreservices.uiagent
94767	-9	com.apple.icloud.searchpartyuseragent
-	-9	com.apple.AccessibilityVisualsAgent
-	-9	com.apple.installd.user
-	-9	com.apple.privatecloudcomputed
-	-9	com.apple.textunderstandingd
6520	-9	com.apple.liveactivitiesd
839	0	com.apple.akd
51790	-9	com.apple.CallHistoryPluginHelper
89411	-9	com.apple.jetpackassetd
-	-9	com.apple.homeeventsd
768	0	application.com.anthropic.claudefordesktop.576054446.576054452
89488	-9	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
88913	-9	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
701	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	127	com.user.vscode-secrets
4664	0	application.io.github.0ssamaak0.MackingJAI.486767436.486767445
-	0	com.apple.searchtoold
-	-9	com.apple.printtool.agent
-	-9	com.apple.callintelligenced
-	-9	com.apple.askpermissiond
-	0	com.apple.previewshellmacapp
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
-	-9	com.apple.FeatureAccessAgent
4457	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
3992	0	com.apple.CryptoTokenKit.ahp.agent
1743	0	application.com.microsoft.VSCodeInsiders.579081816.579081822
85758	-9	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
90304	-9	com.apple.remindd
-	0	com.apple.appsleep
809	0	application.com.noodlesoft.Hazel.556847644.558723335
54135	-9	com.apple.duetexpertd
4423	0	application.org.tempel.findanyfile.hotkey.558721876.558721881
3975	0	org.pqrs.service.agent.Karabiner-Menu
908	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
845	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
